Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
1214,"BIGGEST JOKE OF INDIAN JUDICIARY....:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:

WTF IS HAPPENING INDIA...:crying_face::crying_face:
WHAT IS MODI GOVERNMENT DOING ???

IF THIS HAPPENED THEN I SUGGEST TO LEAVE INDIA AS SOON AS POSSIBLE BCOZ IT CAN BE HAPPEN WITH US ALSO....

SALUTE TO THAT PEOPLE WHICH LIVE IN ABROAD, MOST CLEVER PEOPLE...SUCH BITCH POLICE AND CORRUPT INDIANS :crying_face::crying_face:

Behenchodd :crying_face::crying_face:",4,llama3:70b,Anger or Outrage,"""THE BIGGEST JOKE OF THE INDIAN JUDICIARY...:face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:

WHAT IS GOING ON IN INDIA...:crying_face::crying_face:
WHAT IS THE MODI GOVERNMENT DOING ???

IF THIS CAN HAPPEN, I SUGGEST LEAVING INDIA AS SOON AS POSSIBLE BECAUSE IT CAN ALSO HAPPEN TO US....

SALUTE TO THOSE WHO LIVE ABROAD, THEY ARE THE MOST INTELLIGENT PEOPLE...SUCH A PATHETIC POLICE FORCE AND CORRUPT INDIANS :crying_face::crying_face:

BEHENCHODS :crying_face::crying_face:"""
2846,"This is d justice u get in India
This govt is hopeless n public blind",3,llama3:70b,Victim Sympathy,"""This is the justice you get in India
This government is hopeless and the public is blind."""
1913,"Same justice have been done in the case of Ramoji Rao in Telangana high court in year 2014, with knowing anyone the case was closed in chit fund case, please make a video how BJP is supporting this man in telangana",6,llama3:70b,Views on Similar Cases in the Past,"""Justice has been served in the same way in the case of Ramoji Rao in the Telangana High Court in 2014. Although it's well-known that the case was closed due to the chit fund scam, still, make a video about how the BJP is backing this man in Telangana :expressionless face"""
1980,Bro shanmukh and his brother case gurinchi em ayina update evvandi... Sampath badithuraliki nyayam jariginda,6,llama3:70b,Views on Similar Cases in the Past,"""Bro, what's the latest update on the Shanmukh and his brother case? Is justice being served by Sampath?"""
2879,Agar 2013 me congress ki hi govt. Me akash ambani aston martin se accident krta hai to wo news minutes me daba di jati hai:face_with_tears_of_joy:,6,llama3:70b,Views on Similar Cases in the Past,"""If the Congress government in 2013 had an accident in an Aston Martin, that news would be suppressed within minutes:face_with_tears_of_joy:"""
31,"Juvenile Justice Board :cross_mark:
Jokers Justice Board :check_mark_button:",4,llama3:70b,Anger or Outrage,"""This is nothing but the 'Juvenile Justice Board' :cross_mark:. This is more like the 'Jokers Justice Board' :check_mark_button:."""
2530,"So many loopholes and delays in our legal system. 1000s of pending criminal and even more pending civil cases. 
Sometimes it feels like the basic rule of not punishing the innocent is becoming a loophole for those who are actually guilty. They are manipulating it for their convenience",2,llama3:70b,Socioeconomic Privilege,"""So many loopholes and delays in our legal system. There are thousands of pending criminal cases and even more pending civil cases. Sometimes it seems like the basic principle of not punishing the innocent is being exploited by the guilty as a loophole to suit their convenience."""
1501,"Jab hit and run rule ban rha tha tum kahan mar gye tha truck driver koi sharif
Nhi  hota bechare kitna nirdosh ko alcohol pika thok deta hain ...essay likhna wali baat go galat in amirjado ko ..he[17 year sharabi]should be in jail with non
 bailable offence .....",4,llama3:70b,Anger or Outrage,"""When the hit and run rule was being banned, where were you truck drivers? You're not a decent person, you're just a cruel one... How many innocent people are you getting drunk and killing... This is a wrong statement by the essay writers about these rich people... He, the 17-year-old drunkard, should be in jail with a non-bailable offense......"""
208,in this kind of casess we can see how corrupt is our system even the court judges. this is shame for pune police.,0,llama3:70b,Judicial Accountability and Policy Demands,"""In this kind of cases, we can see how corrupt our system is, even the court judges are involved. This is a shame for the Pune Police."""
10,"Any one who is above 7years can give legally valid evidence in court of law if the judge is convinced, I think nowadays anyone  who is above 12 years are treated as adults, not only in this big money bratt even kids who are not rich consuming ganja and doing all kinds of things, so just remove this juvenile act from our judiciary system",0,llama3:70b,Judicial Accountability and Policy Demands,"""Anyone above 7 years can provide legally valid evidence in court if the judge is convinced, I think nowadays anyone above 12 is considered an adult, not just the rich kid, even poor kids who consume ganja and engage in other activities, so let's remove the juvenile act from our judicial system"""
1536,"RiP...:crying_face::crying_face:
‡§ñ‡•Ç‡§™ ‡§ö‡•Å‡§ï‡•Ä‡§ö‡§æ ‡§∏‡§Ç‡§¶‡•á‡§∂ ‡§ú‡§æ‡§£‡§æ‡§∞ ‡§∏‡§Æ‡§æ‡§ú‡§æ‡§Æ‡§ß‡•ç‡§Ø‡•á...:thumbs_down::thumbs_down:",5,llama3:70b,Irrelevant/General Comments,"""Rest in Power...:crying_face::crying_face:
Their so-called 'independence' is just a joke, 'àndar ki gatividhi' (internal activities) are done by the government to suppress the truth, the courts are also a part of this game, the judges are also playing their role, the law is being used to silence the opposition, public safety is just a myth, the country is in a state of emergency...:thumbs_down::thumbs_down:"""
2373,"World Best comedy, indian judiciary system :face_with_open_eyes_and_hand_over_mouth:. Criminals are safe under this system and common man suffer",0,llama3:70b,Judicial Accountability and Policy Demands,"""This is the world's best comedy - the Indian judiciary system :face_with_open_eyes_and_hand_over_mouth:. Criminals are safe under this system, while the common man suffers"""
2754,Log isliye he Amir hote hain......taki garibon ko maar sake:crying_face::crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""The ruling class is like Amir because they can mercilessly kill the poor :expressionless face::expressionless face::expressionless face::expressionless face:"""
2833,"Its common in India ! Law for rich is entirely different than poors !
Money matters every where. 
This case is one of them.",2,llama3:70b,Socioeconomic Privilege,"""It's a common phenomenon in India - the law is applied differently for the rich and the poor. Money plays a role in everything, and this is just another example."""
2404,Ye injustice hai samefull hai but try to change the law,0,llama3:70b,Judicial Accountability and Policy Demands,"""This is a blatant injustice, but they're trying to change the law."""
2188,Plz arrested for 7 years.. rich man son .,0,llama3:70b,Judicial Accountability and Policy Demands,"""Arrest the rich man's son for 7 years."""
2861,this case reminds me of jessicaa lall case,6,llama3:70b,Views on Similar Cases in the Past,This case reminds me of the Jessica Lal case.
2238,Aap:face_with_tears_of_joy:,5,llama3:70b,Irrelevant/General Comments,"""They're crying tears of joy."""
1151,There are hundreds of near misses in Pune and Nasik due to the subziwala and Doodhwala pick up clans. They are usually drunk and behave badly with the other vehicle owners.,6,llama3:70b,Views on Similar Cases in the Past,"""Subziwalas and Doodhwalas in Pune and Nasik are frequently involved in near-miss accidents due to their drunken state and reckless behavior towards other drivers."""
348,zopa tya builder chya khali evdhech rhaile ahe court ani government servant yanch,2,llama3:70b,Socioeconomic Privilege,"""The corrupt builders are sitting idle in empty offices while the court and government servants are doing nothing."""
1778,Justice for ashwin and anish,3,llama3:70b,Victim Sympathy,"""Justice for Ashwin and Anish"""
2725,I agree she was in pain but people needed to see her pain on national television to understand why we need this case to be set as an example that no more mother should cry anymore for their child because of some rich law manhandlers.,3,llama3:70b,Victim Sympathy,"""I agree she was in pain, but people needed to witness her suffering on national television to comprehend why we must make this case a precedent, so that no mother has to cry for their child due to some corrupt, powerful lawyer's manipulation again."""
581,It's not famous stories it's alcohol and drug problem we should consider....,4,llama3:70b,Anger or Outrage,"""It's not the famous stories that matter, it's the alcohol and drug problems we should be considering..."""
2038,Something makes me feel even the commissioner himself is involved right now. Really sad. The system is failing day by day.,0,llama3:70b,Judicial Accountability and Policy Demands,"""I have a feeling that even the commissioner is involved in this right now. It's really disheartening. The system is collapsing day by day."""
2122,This is so heartbreaking. I cant imagine what their parents went through. :crying_face::crying_face:,3,llama3:70b,Victim Sympathy,"""This is so heartbreaking. I can't imagine what their parents must have endured."""
1892,Justice for victims :folded_hands::folded_hands: I hope got,3,llama3:70b,Victim Sympathy,"""We need justice for the victims. :folded_hands::folded_hands: I hope they get it."""
